S.No.,Description,Sub Class,Class,Group,Division,Section
260,"Other semi-processed, processed or instant foods n.e.c. except farinaceous products and malted foods and manufacturing activities like manufacture of egg powder, sambar powder etc. (this excludes the activities covered under 10619)",10799,1079,107,Manufacture of food products,Manufacturing
261,Manufacture of cattle feed,10801,1080,108,Manufacture of food products,Manufacturing
262,Manufacture of poultry feed,10802,1080,108,Manufacture of food products,Manufacturing
263,"Manufacture of prepared feeds for pets, including dogs, cats, birds, fish etc.",10803,1080,108,Manufacture of food products,Manufacturing
264,Manufacture of other animal feeds n.e.c.,10809,1080,108,Manufacture of food products,Manufacturing
265,"Manufacture of distilled, potable, alcoholic beverages such as whisky, brandy, gin, â€œmixed drinksâ€ etc.",11011,1101,110,Manufacture of beverages,Manufacturing
266,Manufacture of country liquor,11012,1101,110,Manufacture of beverages,Manufacturing
267,"Distilling, rectifying and blending of spirits",11019,1101,110,Manufacture of beverages,Manufacturing
268,Manufacture of wines,11020,1102,110,Manufacture of beverages,Manufacturing
269,Manufacture of beer,11031,1103,110,Manufacture of beverages,Manufacturing
270,Manufacture of malt liquors other than beer,11032,1103,110,Manufacture of beverages,Manufacturing
271,Manufacture of malt,11033,1103,110,Manufacture of beverages,Manufacturing
272,Manufacture of malt liquors and malt n.e.c.,11039,1103,110,Manufacture of beverages,Manufacturing
273,Manufacture of aerated drinks,11041,1104,110,Manufacture of beverages,Manufacturing
274,Manufacture of synthetic flavoured concentrates and syrups,11042,1104,110,Manufacture of beverages,Manufacturing
275,Manufacture of mineral water,11043,1104,110,Manufacture of beverages,Manufacturing
276,Manufacture of ice,11044,1104,110,Manufacture of beverages,Manufacturing
277,Manufacture of soft drinks,11045,1104,110,Manufacture of beverages,Manufacturing
278,Manufacture of other non-alcoholic beverages n.e.c.,11049,1104,110,Manufacture of beverages,Manufacturing
279,Stemming and redrying of tobacco,12001,1200,120,Manufacture of tobacco products,Manufacturing
280,Manufacture of bidi,12002,1200,120,Manufacture of tobacco products,Manufacturing
281,"Manufacture of cigarettes, cigarette tobacco",12003,1200,120,Manufacture of tobacco products,Manufacturing
282,Manufacture of cigars and cheroots,12004,1200,120,Manufacture of tobacco products,Manufacturing
283,Manufacture of snuff,12005,1200,120,Manufacture of tobacco products,Manufacturing
284,Manufacture of zarda,12006,1200,120,Manufacture of tobacco products,Manufacturing
285,Manufacture of catechu(katha) and chewing lime,12007,1200,120,Manufacture of tobacco products,Manufacturing
286,Manufacture of pan masala and related products.,12008,1200,120,Manufacture of tobacco products,Manufacturing
287,Manufacture of other tobacco products including chewing tobacco n.e.c.,12009,1200,120,Manufacture of tobacco products,Manufacturing
288,Preparation and spinning of cotton fiber including blended* cotton,13111,1311,131,Manufacture of textiles,Manufacturing
289,Preparation and spinning of silk fiber including blended* silk,13112,1311,131,Manufacture of textiles,Manufacturing
290,"Preparation and spinning of wool, including other animal hair and blended* wool including other animal hair",13113,1311,131,Manufacture of textiles,Manufacturing
291,Preparation and spinning of man-made fiber including blended* man-made fiber,13114,1311,131,Manufacture of textiles,Manufacturing
292,"Preparation and spinning of jute, mesta and other natural fibers including blended natural fibers n.e.c. *Blended yarn/fabrics means, yarn/fabrics containing more than 50% of one fiber.",13119,1311,131,Manufacture of textiles,Manufacturing
293,"Weaving, manufacture of cotton and cotton mixture fabrics.",13121,1312,131,Manufacture of textiles,Manufacturing
294,"Weaving, manufacture of silk and silk mixture fabrics.",13122,1312,131,Manufacture of textiles,Manufacturing
295,"Weaving, manufacture of wool and wool mixture fabrics.",13123,1312,131,Manufacture of textiles,Manufacturing
296,"Weaving, manufacturing of man-made fiber and man-made mixture fabrics.",13124,1312,131,Manufacture of textiles,Manufacturing
297,"Weaving of jute, mesta and other natural fibers including blended natural fibers n.e.c.",13129,1312,131,Manufacture of textiles,Manufacturing
298,Finishing of cotton and blended cotton textiles.,13131,1313,131,Manufacture of textiles,Manufacturing
299,Finishing of silk and blended silk textiles.,13132,1313,131,Manufacture of textiles,Manufacturing
300,Finishing of wool and blended wool textiles.,13133,1313,131,Manufacture of textiles,Manufacturing
301,Finishing of man-made and blended man-made textiles.,13134,1313,131,Manufacture of textiles,Manufacturing
302,"Finishing of jute, mesta and other vegetable textiles fabrics",13135,1313,131,Manufacture of textiles,Manufacturing
303,Activity related to screen printing,13136,1313,131,Manufacture of textiles,Manufacturing
304,Other activities relating to finishing of textile n.e.c.,13139,1313,131,Manufacture of textiles,Manufacturing
305,Manufacture of knitted and crocheted cotton fabrics,13911,1391,139,Manufacture of textiles,Manufacturing
306,Manufacture of knitted and crocheted woolen fabrics,13912,1391,139,Manufacture of textiles,Manufacturing
307,Manufacture of knitted and crocheted synthetic fabrics,13913,1391,139,Manufacture of textiles,Manufacturing
308,Manufacture of other knitted and crocheted fabrics,13919,1391,139,Manufacture of textiles,Manufacturing
309,"Manufacture of curtains, bed covers and furnishings",13921,1392,139,Manufacture of textiles,Manufacturing
310,Manufacture of crocheted made up textile goods except apparel,13922,1392,139,Manufacture of textiles,Manufacturing
311,Manufacture of mosquito nets,13923,1392,139,Manufacture of textiles,Manufacturing
312,"Manufacture of bedding, quilts pillows, sleeping bags etc.",13924,1392,139,Manufacture of textiles,Manufacturing
313,Manufacture of tarpaulin,13925,1392,139,Manufacture of textiles,Manufacturing
314,Manufacture of blankets,13926,1392,139,Manufacture of textiles,Manufacturing
315,"Manufacture of other made-up textile articles, except apparel n.e.c.",13929,1392,139,Manufacture of textiles,Manufacturing
316,Manufacture of carpets and other floor coverings made of cotton,13931,1393,139,Manufacture of textiles,Manufacturing
317,Manufacture of carpets and other floor coverings made of wool,13932,1393,139,Manufacture of textiles,Manufacturing
318,Manufacture of carpets and other floor coverings made of silk,13933,1393,139,Manufacture of textiles,Manufacturing
319,Manufacture of carpets made of synthetic materials,13934,1393,139,Manufacture of textiles,Manufacturing
320,"Manufacture of carpets, and other floor coverings made of jute, mesta and coir",13935,1393,139,Manufacture of textiles,Manufacturing
321,Manufacture of other floor coverings n.e.c.,13939,1393,139,Manufacture of textiles,Manufacturing
322,"Manufacture of thread, including thread ball making",13941,1394,139,Manufacture of textiles,Manufacturing
323,Manufacture of cordage or rope made of jute,13942,1394,139,Manufacture of textiles,Manufacturing
324,Manufacture of cordage or rope made of coir,13943,1394,139,Manufacture of textiles,Manufacturing
325,Manufacture of rope and cordage made of synthetic material,13944,1394,139,Manufacture of textiles,Manufacturing
326,"Manufacture of knotted netting of twine, cordage or rope (other than mosquito net)",13945,1394,139,Manufacture of textiles,Manufacturing
327,"Manufacture of tapes, newar and wicks",13946,1394,139,Manufacture of textiles,Manufacturing
328,Manufacture of other cordage or rope n.e.c.,13949,1394,139,Manufacture of textiles,Manufacturing
329,Embroidery work and making of laces and fringes,13991,1399,139,Manufacture of textiles,Manufacturing
330,Zari work and other ornamental trimmings,13992,1399,139,Manufacture of textiles,Manufacturing
331,Manufacture of linolium and similar products,13993,1399,139,Manufacture of textiles,Manufacturing
332,Manufacture of gas mantles,13994,1399,139,Manufacture of textiles,Manufacturing
333,"Manufacture of made-up canvas goods such tents, sails etc.",13995,1399,139,Manufacture of textiles,Manufacturing
334,Manufacture of wadding of textile materials and articles of wadding such as sanitary napkins and tampoons,13996,1399,139,Manufacture of textiles,Manufacturing
335,"Manufacture of metallised yarn or gimped yarn, rubber thread or cord covered with textile material, textile yarn or strip impregnated, covered or sheathed with rubber or plastic",13997,1399,139,Manufacture of textiles,Manufacturing
336,Manufacture of waterproof textile excluding tarpulin,13998,1399,139,Manufacture of textiles,Manufacturing
337,Manufacture of other textiles/textile products n.e.c.,13999,1399,139,Manufacture of textiles,Manufacturing
338,Manufacture of all types of textile garments and clothing accessories,14101,1410,141,Manufacture of wearing apparel,Manufacturing
339,Manufacture of rain coats of waterproof textile fabrics or plastic sheetings,14102,1410,141,Manufacture of wearing apparel,Manufacturing
